heave,roll,IA_change
-2,0.034906585,-0.066671577
-1.9,0.034906585,-0.064577182
-1.8,0.034906585,-0.062308254
-1.7,0.034906585,-0.060213859
-1.6,0.034906585,-0.058119464
-1.5,0.034906585,-0.056025069
-1.4,0.034906585,-0.053756141
-1.3,0.034906585,-0.051661746
-1.2,0.034906585,-0.049392818
-1.1,0.034906585,-0.04712389
-1,0.034906585,-0.045029495
-0.9,0.034906585,-0.042760567
-0.8,0.034906585,-0.040491639
-0.7,0.034906585,-0.038222711
-0.6,0.034906585,-0.03577925
-0.5,0.034906585,-0.033510322
-0.4,0.034906585,-0.031241394
-0.3,0.034906585,-0.028797933
-0.2,0.034906585,-0.026354472
-0.1,0.034906585,-0.024085544
0,0.034906585,-0.021642083
0.1,0.034906585,-0.019198622
0.2,0.034906585,-0.016755161
0.3,0.034906585,-0.0143117
0.4,0.034906585,-0.011693706
0.5,0.034906585,-0.009250245
0.6,0.034906585,-0.006632251
0.7,0.034906585,-0.00418879
0.8,0.034906585,-0.001570796
0.9,0.034906585,0.001047198
1,0.034906585,0.003665191
1.1,0.034906585,0.006283185
1.2,0.034906585,0.009075712
1.3,0.034906585,0.011693706
1.4,0.034906585,0.014486233
1.5,0.034906585,0.017104227
1.6,0.034906585,0.019896753
1.7,0.034906585,0.02268928
1.8,0.034906585,0.025481807
1.9,0.034906585,0.028448867
2,0.034906585,0.031241394
-2,0.033161256,-0.06562438
-1.9,0.033161256,-0.063529985
-1.8,0.033161256,-0.06143559
-1.7,0.033161256,-0.059341195
-1.6,0.033161256,-0.057246799
-1.5,0.033161256,-0.054977871
-1.4,0.033161256,-0.052883476
-1.3,0.033161256,-0.050614548
-1.2,0.033161256,-0.048520153
-1.1,0.033161256,-0.046251225
-1,0.033161256,-0.043982297
-0.9,0.033161256,-0.041713369
-0.8,0.033161256,-0.039444441
-0.7,0.033161256,-0.037175513
-0.6,0.033161256,-0.034906585
-0.5,0.033161256,-0.032463124
-0.4,0.033161256,-0.030194196
-0.3,0.033161256,-0.027750735
-0.2,0.033161256,-0.025481807
-0.1,0.033161256,-0.023038346
0,0.033161256,-0.020594885
0.1,0.033161256,-0.018151424
0.2,0.033161256,-0.015707963
0.3,0.033161256,-0.013089969
0.4,0.033161256,-0.010646508
0.5,0.033161256,-0.008203047
0.6,0.033161256,-0.005585054
0.7,0.033161256,-0.00296706
0.8,0.033161256,-0.000349066
0.9,0.033161256,0.002268928
1,0.033161256,0.004886922
1.1,0.033161256,0.007504916
1.2,0.033161256,0.01012291
1.3,0.033161256,0.012915436
1.4,0.033161256,0.01553343
1.5,0.033161256,0.018325957
1.6,0.033161256,0.021118484
1.7,0.033161256,0.023911011
1.8,0.033161256,0.026703538
1.9,0.033161256,0.029670597
2,0.033161256,0.032463124
-2,0.031415927,-0.064751715
-1.9,0.031415927,-0.06265732
-1.8,0.031415927,-0.060562925
-1.7,0.031415927,-0.05846853
-1.6,0.031415927,-0.056199602
