,SL,FX,load,velocity,pressure,camber,slip,NFX
0,-0.142817657,-3113.07,-1112.055122,40.2335,82.73712,0,0,2.799384615
0,-0.137049656,-3112.520333,-1112.055122,40.2335,82.73712,0,0,2.798890334
0,-0.131281656,-3130.071194,-1112.055122,40.2335,82.73712,0,0,2.8146727
0,-0.125513656,-3072.477407,-1112.055122,40.2335,82.73712,0,0,2.762882294
0,-0.119745656,-3038.880469,-1112.055122,40.2335,82.73712,0,0,2.732670717
0,-0.113977655,-3042.807097,-1112.055122,40.2335,82.73712,0,0,2.736201682
0,-0.108209655,-2948.978222,-1112.055122,40.2335,82.73712,0,0,2.651827381
0,-0.102441655,-2930.505962,-1112.055122,40.2335,82.73712,0,0,2.635216459
0,-0.096673655,-2905.204,-1112.055122,40.2335,82.73712,0,0,2.612464024
0,-0.090905654,-2850.160811,-1112.055122,40.2335,82.73712,0,0,2.562967207
0,-0.085137654,-2797.169853,-1112.055122,40.2335,82.73712,0,0,2.51531583
0,-0.079369654,-2752.019273,-1112.055122,40.2335,82.73712,0,0,2.474714803
0,-0.073601654,-2704.681373,-1112.055122,40.2335,82.73712,0,0,2.432146859
0,-0.067833653,-2583.521071,-1112.055122,40.2335,82.73712,0,0,2.323195154
0,-0.062065653,-2506.238438,-1112.055122,40.2335,82.73712,0,0,2.253699828
0,-0.056297653,-2383.795692,-1112.055122,40.2335,82.73712,0,0,2.143594903
0,-0.050529652,-2227.18,-1112.055122,40.2335,82.73712,0,0,2.002760434
0,-0.044761652,-2091.686857,-1112.055122,40.2335,82.73712,0,0,1.880920123
0,-0.038993652,-1874.264107,-1112.055122,40.2335,82.73712,0,0,1.685405759
0,-0.033225652,-1737.374419,-1112.055122,40.2335,82.73712,0,0,1.562309623
0,-0.027457651,-1454.975455,-1112.055122,40.2335,82.73712,0,0,1.308366308
0,-0.021689651,-1229.022456,-1112.055122,40.2335,82.73712,0,0,1.105181237
0,-0.015921651,-974.3755814,-1112.055122,40.2335,82.73712,0,0,0.8761936
0,-0.010153651,-603.8921569,-1112.055122,40.2335,82.73712,0,0,0.543041568
0,-0.00438565,-352.0559036,-1112.055122,40.2335,82.73712,0,0,0.316581343
0,0.00138235,128.6774603,-1112.055122,40.2335,82.73712,0,0,-0.115711405
0,0.00715035,553.604918,-1112.055122,40.2335,82.73712,0,0,-0.497821472
0,0.012918351,896.8521176,-1112.055122,40.2335,82.73712,0,0,-0.806481711
0,0.018686351,1072.649077,-1112.055122,40.2335,82.73712,0,0,-0.964564665
0,0.024454351,1343.964902,-1112.055122,40.2335,82.73712,0,0,-1.208541623
0,0.030222351,1576.26561,-1112.055122,40.2335,82.73712,0,0,-1.417434782
0,0.035990352,1740.050962,-1112.055122,40.2335,82.73712,0,0,-1.564716466
0,0.041758352,2003.806271,-1112.055122,40.2335,82.73712,0,0,-1.801894736
0,0.047526352,2136.702933,-1112.055122,40.2335,82.73712,0,0,-1.921400199
0,0.053294352,2251.944062,-1112.055122,40.2335,82.73712,0,0,-2.025029171
0,0.059062353,2410.042742,-1112.055122,40.2335,82.73712,0,0,-2.167197195
0,0.064830353,2512.597586,-1112.055122,40.2335,82.73712,0,0,-2.259418203
0,0.070598353,2611.154038,-1112.055122,40.2335,82.73712,0,0,-2.348043713
0,0.076366353,2722.930526,-1112.055122,40.2335,82.73712,0,0,-2.448557155
0,0.082134354,2824.096949,-1112.055122,40.2335,82.73712,0,0,-2.539529644
0,0.087902354,2881.138507,-1112.055122,40.2335,82.73712,0,0,-2.590823467
0,0.093670354,2939.136774,-1112.055122,40.2335,82.73712,0,0,-2.642977596
0,0.099438355,2954.303148,-1112.055122,40.2335,82.73712,0,0,-2.656615746
0,0.105206355,2972.556415,-1112.055122,40.2335,82.73712,0,0,-2.67302974
0,0.110974355,3002.137407,-1112.055122,40.2335,82.73712,0,0,-2.699630034
0,0.116742355,2987.672,-1112.055122,40.2335,82.73712,0,0,-2.686622219
0,0.122510356,3027.644407,-1112.055122,40.2335,82.73712,0,0,-2.722566846
0,0.128278356,3027.797222,-1112.055122,40.2335,82.73712,0,0,-2.722704263
0,0.134046356,2965.282206,-1112.055122,40.2335,82.73712,0,0,-2.66648851
0,0.139814356,2935.361165,-1112.055122,40.2335,82.73712,0,0,-2.639582433
0,-0.142356436,-2657.340435,-889.6440979,40.2335,82.73712,0,0,2.986970229
0,-0.136601569,-2631.96913,-889.6440979,40.2335,82.73712,0,0,2.958451741
0,-0.130846703,-2608.017647,-889.6440979,40.2335,82.73712,0,0,2.931529196
0,-0.125091837,-2577.421739,-889.6440979,40.2335,82.73712,0,0,2.897138019
0,-0.11933697,-2536.888182,-889.6440979,40.2335,82.73712,0,0,2.851576476
0,-0.113582104,-2538.887368,-889.6440979,40.2335,82.73712,0,0,2.853823652
0,-0.107827238,-2481.2452,-889.6440979,40.2335,82.73712,0,0,2.789031261
0,-0.102072372,-2473.921111,-889.6440979,40.2335,82.73712,0,0,2.780798655
0,-0.096317505,-2463.258824,-889.6440979,40.2335,82.73712,0,0,2.768813764
0,-0.090562639,-2420.036875,-889.6440979,40.2335,82.73712,0,0,2.720230349
0,-0.084807773,-2406.217586,-889.6440979,40.2335,82.73712,0,0,2.704696847
0,-0.079052906,-2388.111351,-889.6440979,40.2335,82.73712,0,0,2.684344624
0,-0.07329804,-2295.544583,-889.6440979,40.2335,82.73712,0,0,2.580295411
0,-0.067543174,-2123.108333,-889.6440979,40.2335,82.73712,0,0,2.386469307
0,-0.061788307,-2079.3275,-889.6440979,40.2335,82.73712,0,0,2.33725768
0,-0.056033441,-1972.992727,-889.6440979,40.2335,82.73712,0,0,2.21773261
0,-0.050278575,-1900.619444,-889.6440979,40.2335,82.73712,0,0,2.136381783
0,-0.044523708,-1754.527222,-889.6440979,40.2335,82.73712,0,0,1.972167552
0,-0.038768842,-1564.1465,-889.6440979,40.2335,82.73712,0,0,1.758171053
0,-0.033013976,-1483.923,-889.6440979,40.2335,82.73712,0,0,1.667996229
0,-0.02725911,-1218.1,-889.6440979,40.2335,82.73712,0,0,1.369199215
0,-0.021504243,-1035.085455,-889.6440979,40.2335,82.73712,0,0,1.16348263
0,-0.015749377,-881.7489474,-889.6440979,40.2335,82.73712,0,0,0.991125496
0,-0.009994511,-460.5051852,-889.6440979,40.2335,82.73712,0,0,0.517628551
0,-0.004239644,-264.2222727,-889.6440979,40.2335,82.73712,0,0,0.296997725
0,0.001515222,95.49578947,-889.6440979,40.2335,82.73712,0,0,-0.107341565
0,0.007270088,389.076129,-889.6440979,40.2335,82.73712,0,0,-0.437339077
0,0.013024955,837.7309375,-889.6440979,40.2335,82.73712,0,0,-0.941647272
0,0.018779821,980.2757692,-889.6440979,40.2335,82.73712,0,0,-1.101874077
0,0.024534687,1120.87625,-889.6440979,40.2335,82.73712,0,0,-1.259915344
0,0.030289553,1347.6625,-889.6440979,40.2335,82.73712,0,0,-1.514833295
0,0.03604442,1554.741053,-889.6440979,40.2335,82.73712,0,0,-1.747598907
0,0.041799286,1636.140526,-889.6440979,40.2335,82.73712,0,0,-1.839095578
0,0.047554152,1789.347647,-889.6440979,40.2335,82.73712,0,0,-2.011307276
0,0.053309019,1902.2644,-889.6440979,40.2335,82.73712,0,0,-2.138230787
0,0.059063885,2015.643478,-889.6440979,40.2335,82.73712,0,0,-2.265673974
0,0.064818751,2125.562692,-889.6440979,40.2335,82.73712,0,0,-2.389228116
0,0.070573618,2169.977917,-889.6440979,40.2335,82.73712,0,0,-2.439152827
0,0.076328484,2256.480476,-889.6440979,40.2335,82.73712,0,0,-2.536385597
0,0.08208335,2324.143333,-889.6440979,40.2335,82.73712,0,0,-2.612441693
0,0.087838216,2410.87,-889.6440979,40.2335,82.73712,0,0,-2.709926369
0,0.093593083,2429.900526,-889.6440979,40.2335,82.73712,0,0,-2.731317537
0,0.099347949,2485.014286,-889.6440979,40.2335,82.73712,0,0,-2.793267883
0,0.105102815,2520.74963,-889.6440979,40.2335,82.73712,0,0,-2.833436017
0,0.110857682,2533.466364,-889.6440979,40.2335,82.73712,0,0,-2.847730199
0,0.116612548,2476.699231,-889.6440979,40.2335,82.73712,0,0,-2.783921387
0,0.122367414,2540.506667,-889.6440979,40.2335,82.73712,0,0,-2.855643816
0,0.128122281,2527.891364,-889.6440979,40.2335,82.73712,0,0,-2.841463648
0,0.133877147,2488.839565,-889.6440979,40.2335,82.73712,0,0,-2.797567669
0,0.139632013,2491.782703,-889.6440979,40.2335,82.73712,0,0,-2.800875888
0,-0.142431518,-2069.162381,-667.2330734,40.2335,82.73712,0,0,3.101108838
0,-0.13670292,-2033.141304,-667.2330734,40.2335,82.73712,0,0,3.04712309
0,-0.130974321,-2010.410556,-667.2330734,40.2335,82.73712,0,0,3.013055911
0,-0.125245723,-2045.675,-667.2330734,40.2335,82.73712,0,0,3.065907674
0,-0.119517125,-1971.390556,-667.2330734,40.2335,82.73712,0,0,2.954575596
0,-0.113788526,-2005.452083,-667.2330734,40.2335,82.73712,0,0,3.005624516
0,-0.108059928,-1993.652222,-667.2330734,40.2335,82.73712,0,0,2.98793975
0,-0.10233133,-1986.579412,-667.2330734,40.2335,82.73712,0,0,2.97733954
0,-0.096602731,-1978.624,-667.2330734,40.2335,82.73712,0,0,2.965416552
0,-0.090874133,-1885.32,-667.2330734,40.2335,82.73712,0,0,2.825579359
0,-0.085145534,-1865.911538,-667.2330734,40.2335,82.73712,0,0,2.79649138
