x,y
324.8721962,390.7493219
397.412321,398.0890539
423.2710361,400.124892
560.3865157,392.1065473
587.9953372,380.838005
646.8917753,388.5349015
678.0008096,374.7840655
706.7525578,390.5528814
737.8615921,377.2663593
766.8812136,393.8566537
812.4018385,384.5703748
877.7629554,408.5004012
950.1602143,406.9467353
1022.343175,437.073567
1067.667359,452.145912
1091.936692,438.1986354
1082.954003,424.4835158
1077.13222,410.9826949
1082.507547,382.1059392
1074.221329,319.1913996
1071.149714,307.4406852
1043.076578,273.5457672
1045.826746,225.5428486
1041.862219,217.7745191
1010.913908,173.3611044
993.4664188,124.9117301
1018.55723,82.42700413
1020.146613,56.35399029
977.7690359,35.58487037
964.3932226,6.958129829
960.6072781,-22.8472538
919.2476205,-150.5335887
902.0144299,-171.1241263
906.8182934,-198.2686339
874.1020185,-231.1099164
900.2107488,-267.629994
898.58565,-302.8107044
865.4407776,-336.6520477
809.9016865,-357.59975
769.4885151,-346.0811925
730.1289791,-307.8288667
633.9981342,-282.1487339
527.4559421,-392.976901
434.4502872,-383.7084803
443.3079686,-351.9744079
420.8780335,-321.3832623
434.9324594,-284.6131694
353.8025266,-275.5054729
335.5514169,-290.3456608
286.7984527,-378.8867585
278.4229434,-379.4760801
275.6370598,-349.3313901
240.0098936,-328.4551208
224.3839436,-303.5964665
185.3815722,-305.1501324
171.5057285,-280.7379339
124.7886023,-283.720258
97.71552767,-289.3098836
-39.47138487,-288.0062329
-64.00859104,-276.5233919
-85.75991354,-274.8625766
-93.1532202,-274.9875842
-108.0469829,-296.8817725
-100.0822129,-326.0799764
-85.15273378,-351.4565193
-82.63472353,-358.4748032
-80.92033358,-364.3858768
-84.81342742,-369.9576442
-94.26043038,-371.9041911
-98.79642046,-371.6006012
-105.4218233,-368.7432846
-155.5855876,-364.5466009
-168.9256844,-357.9569145
-187.1053612,-346.902671
-197.088111,-337.6521086
-189.8555284,-314.489986
-188.6411688,-304.0786387
-195.4987286,-301.7749272
-226.1970237,-299.7926638
-233.7689126,-308.4896212
-246.1089487,-351.1350712
-249.3412881,-365.8323934
-265.6815673,-362.7607781
-338.7752971,-267.7014269
-392.9035882,-293.2208357
-423.8876149,-338.9736175
-523.7151131,-382.4762625
-596.5945442,-326.4907156
-680.296062,-256.8257657
-751.4968196,-252.1290515
-764.7833418,-265.5405813
-771.0158635,-278.2199236
-766.7298887,-329.8123462
-760.4437922,-357.9211981
-774.4803599,-365.7788187
-822.9475925,-370.8862721
-879.8439089,-350.5993243
-907.2027153,-353.7602308
-982.5108655,-337.3485187
-988.4576555,-294.1494636
-970.3494118,-284.6131694
-986.7789821,-242.4141752
-1011.351905,-225.4845744
-997.8689422,-145.3011277
-1006.351601,-95.04807226
-984.3502631,-49.04527524
-987.4397366,0.136286482
-966.2598774,43.01389349
-969.9386726,75.56944433
-961.9203279,85.07002197
-965.3848243,109.7143775
-936.6152179,242.6510316
-926.703901,266.3667593
-913.7924016,297.7436671
-919.9534905,331.1028382
-927.5432377,347.3538262
-939.5796838,363.890546
-950.9375173,379.4807796
-928.8111719,391.2672105
-906.5419608,379.1771897
-895.7377324,368.0157968
-827.6085902,348.978925
-792.5171709,328.5669697
-702.9045794,309.9944119
-626.5249355,258.6520045
-558.0029121,213.8992835
-485.6056532,127.3404492
-425.6734378,97.24933393
-338.8288719,131.4121254
-299.3443283,151.1811845
-287.4150316,188.6477482
-252.2521793,205.577349
-245.6803512,242.3831582
-210.0710432,262.6165313
-207.2137266,296.4400164
-171.4794111,319.7271465
-166.5862565,365.1227638
-146.4243163,375.14123
-129.7090143,382.6774025
-107.0290639,393.1244663
-53.52581082,381.3558936
-34.27464033,379.8022278
-15.98781418,379.6415037
2.906191737,380.3201164
20.56797988,382.1773721
73.78550128,395.285312
107.108956,410.2326494
186.7923722,402.5893275
241.5457013,413.9471609
276.8335611,411.3041431
324.8721962,390.7493219
