,Norm,Value
0,986.1100764357149,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
1,993.4344472831481,"[180.87493504739558, -1.8470114324583875, 257.4920213935148, 0.6425255879362601, 0.29083960956848925, -0.1834560917562679, 0.17132314082564973, 0.5621594114327708, 19.30991270693955, 2.461288228329008, 0.7970861638534044, 0.044318145240476926, -0.0022160168488658356, 0.8200186702235736, -0.6066052667706355, 0.08915092750324201, 0.8379313932007441, 0.21323003296353726]"
2,986.1100764357215,"[180.87493785748362, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
3,986.1100764692541,"[180.87493516223705, -1.8650997275754908, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
4,986.1100763914799,"[180.87493516223705, -1.865099755367643, 257.4970125846063, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
5,986.1100764357149,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255975106375, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
6,986.1100764357124,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059704260700864, 0.13144676145458725, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
7,986.1100764357149,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676341329664, 0.16992875819225403, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
8,986.1100764357128,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992876072438984, 0.5621594114327708, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
9,986.1100764357149,"[180.87493516223705, -1.865099755367643, 257.49700874760185, 0.6425255879362601, 0.29059703827677535, 0.13144676145458725, 0.16992875819225403, 0.5621594198095988, 19.20448395640236, 2.4229087192174035, 0.7970861638534044, 0.04540402616414255, -0.00023260326308040691, 0.8200186702235736, -0.5956309337987925, 0.10003852684284033, 0.8379313932007441, 0.21323003296353726]"
