         2666047 function calls (2625147 primitive calls) in 2.395 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      178    0.006    0.000    4.859    0.027 __init__.py:1(<module>)
   1524/1    0.011    0.000    2.396    2.396 {built-in method builtins.exec}
        1    0.000    0.000    2.396    2.396 YMD.py:1(<module>)
   1714/3    0.008    0.000    1.685    0.562 <frozen importlib._bootstrap>:1349(_find_and_load)
   1708/3    0.005    0.000    1.685    0.562 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   3948/8    0.014    0.000    1.684    0.211 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   1655/5    0.004    0.000    1.684    0.337 <frozen importlib._bootstrap>:911(_load_unlocked)
   1417/3    0.002    0.000    1.683    0.561 <frozen importlib._bootstrap_external>:989(exec_module)
        1    0.000    0.000    1.680    1.680 vehicle_model.py:1(<module>)
        1    0.000    0.000    1.662    1.662 suspension_model.py:1(<module>)
  708/185    0.001    0.000    1.363    0.007 {built-in method builtins.__import__}
 1713/863    0.002    0.000    1.266    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    1.109    1.109 double_wishbone.py:1(<module>)
        1    0.000    0.000    0.937    0.937 steering_link.py:1(<module>)
        1    0.000    0.000    0.937    0.937 kingpin.py:1(<module>)
        1    0.000    0.000    0.799    0.799 link.py:1(<module>)
        1    0.000    0.000    0.712    0.712 vehicle_model.py:20(__init__)
        1    0.000    0.000    0.686    0.686 vehicle_model.py:27(initialize_suspension)
        1    0.000    0.000    0.672    0.672 suspension_model.py:146(__init__)
        3    0.001    0.000    0.672    0.224 double_wishbone.py:65(__init__)
      599    0.003    0.000    0.653    0.001 double_wishbone.py:303(jounce)
3290/3003    0.035    0.000    0.602    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.567    0.567 cell.py:1(<module>)
        1    0.000    0.000    0.563    0.563 dataset.py:1(<module>)
     1796    0.003    0.000    0.522    0.000 _minpack_py.py:51(fsolve)
     1796    0.007    0.000    0.519    0.000 _minpack_py.py:187(_root_hybr)
        2    0.000    0.000    0.510    0.255 composite.py:1(<module>)
        1    0.000    0.000    0.506    0.506 data_set.py:1(<module>)
     1796    0.014    0.000    0.446    0.000 {built-in method scipy.optimize._minpack._hybrd}
        1    0.000    0.000    0.360    0.360 pyplot.py:1(<module>)
     1417    0.007    0.000    0.277    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
1655/1626    0.002    0.000    0.259    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     6401    0.040    0.000    0.244    0.000 double_wishbone.py:237(_jounce_resid_func)
  225/201    0.000    0.000    0.234    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
  225/201    0.210    0.001    0.230    0.001 {built-in method _imp.create_dynamic}
     1416    0.022    0.000    0.192    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    74616    0.189    0.000    0.189    0.000 misc_linalg.py:29(rotation_matrix)
     1697    0.009    0.000    0.185    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.179    0.179 dependencies.py:1(<module>)
        1    0.000    0.000    0.173    0.173 colorbar.py:1(<module>)
      103    0.005    0.000    0.170    0.002 artist.py:159(_update_set_signature_and_docstring)
     1416    0.169    0.000    0.169    0.000 {built-in method marshal.loads}
      102    0.000    0.000    0.167    0.002 artist.py:126(__init_subclass__)
     1692    0.001    0.000    0.166    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1692    0.003    0.000    0.165    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.162    0.162 push_pull_rod.py:1(<module>)
        9    0.000    0.000    0.153    0.017 api.py:1(<module>)
    14000    0.036    0.000    0.147    0.000 wishbone.py:47(rotate)
        1    0.001    0.001    0.143    0.143 _vtk_core.py:1(<module>)
        1    0.000    0.000    0.141    0.141 figure.py:1(<module>)
     4922    0.002    0.000    0.139    0.000 double_wishbone.py:278(_jounce_induced_steer_resid_func)
        1    0.000    0.000    0.138    0.138 dataframe_protocol.py:1(<module>)
      210    0.137    0.001    0.137    0.001 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.136    0.136 dataframe_protocol.py:365(DataFrame)
        2    0.000    0.000    0.136    0.068 misc_linalg.py:1(<module>)
     5521    0.004    0.000    0.136    0.000 steering_link.py:84(rotate)
        1    0.000    0.000    0.136    0.136 node.py:1(<module>)
      115    0.001    0.000    0.125    0.001 artist.py:1837(kwdoc)
      598    0.001    0.000    0.118    0.000 push_pull_rod.py:131(update)
        1    0.000    0.000    0.116    0.116 _optimize.py:1(<module>)
      115    0.002    0.000    0.106    0.001 artist.py:1598(pprint_setters)
     8708    0.006    0.000    0.100    0.000 push_pull_rod.py:151(_bellcrank_resid_func)
24958/24222    0.007    0.000    0.099    0.000 {built-in method builtins.hasattr}
     2361    0.001    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      169    0.092    0.001    0.095    0.001 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.092    0.092 collections.py:1(<module>)
        3    0.000    0.000    0.091    0.030 generic.py:1(<module>)
     7437    0.005    0.000    0.090    0.000 __init__.py:280(_compile)
     4176    0.007    0.000    0.087    0.000 artist.py:1467(get_valid_values)
        2    0.000    0.000    0.087    0.043 __config__.py:1(<module>)
        1    0.000    0.000    0.086    0.086 rcsetup.py:1(<module>)
        1    0.000    0.000    0.082    0.082 _validate.py:1(<module>)
      376    0.001    0.000    0.080    0.000 _compiler.py:740(compile)
     5520    0.030    0.000    0.079    0.000 steering_link.py:61(update)
        2    0.000    0.000    0.077    0.039 _basic.py:1(<module>)
       10    0.000    0.000    0.076    0.008 __init__.py:323(__getattr__)
        1    0.000    0.000    0.076    0.076 _decomp.py:1(<module>)
        1    0.000    0.000    0.075    0.075 contour.py:1(<module>)
        4    0.000    0.000    0.075    0.019 _util.py:1(<module>)
        1    0.000    0.000    0.074    0.074 _array_api.py:1(<module>)
