heave,adjusted_roll,steered_angle,Inner Wheel,Outer Wheel,camber_change
0,2,0,1.39,1.48,-1.24
-2,2,0,4.34,1.8,-3.82
-1.75,2,0,3.99,1.42,-3.51
-1.5,2,0,3.64,1.02,-3.21
-1.25,2,0,3.28,0.62,-2.89
-1,2,0,2.92,0.22,-2.58
-0.75,2,0,2.54,0.2,-2.25
-0.5,2,0,2.17,0.62,-1.92
-0.25,2,0,1.78,1.04,-1.58
0,2,0,1.39,1.48,-1.24
0.25,2,0,1,1.92,-0.89
0.5,2,0,0.59,2.37,-0.53
0.75,2,0,0.18,2.83,-0.16
1,2,0,0.24,3.3,0.21
1.25,2,0,0.66,3.78,0.59
1.5,2,0,1.1,4.27,0.98
1.75,2,0,1.54,4.76,1.38
2,2,0,1.99,5.27,1.79
-2,1.75,0,4.19,1.97,-3.69
-1.75,1.75,0,3.84,1.59,-3.38
-1.5,1.75,0,3.49,1.2,-3.07
-1.25,1.75,0,3.12,0.8,-2.76
-1,1.75,0,2.76,0.39,-2.44
-0.75,1.75,0,2.38,0.02,-2.11
-0.5,1.75,0,2,0.43,-1.78
-0.25,1.75,0,1.62,0.86,-1.44
0,1.75,0,1.22,1.29,-1.09
0.25,1.75,0,0.82,1.73,-0.73
0.5,1.75,0,0.42,2.18,-0.37
0.75,1.75,0,0,2.63,0
1,1.75,0,0.42,3.1,0.37
1.25,1.75,0,0.85,3.57,0.76
1.5,1.75,0,1.29,4.06,1.15
1.75,1.75,0,1.73,4.55,1.56
2,1.75,0,2.19,5.06,1.97
-2,1.5,0,4.04,2.14,-3.56
-1.75,1.5,0,3.69,1.76,-3.25
-1.5,1.5,0,3.33,1.37,-2.94
-1.25,1.5,0,2.97,0.97,-2.62
-1,1.5,0,2.6,0.57,-2.3
-0.75,1.5,0,2.22,0.16,-1.97
-0.5,1.5,0,1.84,0.25,-1.63
-0.25,1.5,0,1.45,0.67,-1.29
0,1.5,0,1.05,1.1,-0.94
0.25,1.5,0,0.65,1.54,-0.58
0.5,1.5,0,0.24,1.98,-0.21
0.75,1.5,0,0.18,2.44,0.16
1,1.5,0,0.6,2.9,0.54
1.25,1.5,0,1.03,3.37,0.93
1.5,1.5,0,1.48,3.85,1.32
1.75,1.5,0,1.92,4.34,1.73
2,1.5,0,2.38,4.84,2.14
-2,1.25,0,3.89,2.3,-3.42
-1.75,1.25,0,3.53,1.92,-3.12
-1.5,1.25,0,3.17,1.54,-2.8
-1.25,1.25,0,2.81,1.15,-2.48
